Question,Answer
Will you provide a summary of a clients current carbon footprint based on current campaigns?  Please provide sample report,"Yes - that is the heart of our our measurement offering. Our partners may access measurement directly through our Collaborative Sustainability Platform at scope3.com (currently the focus of partnership discussions with Horizon) or via market-leading verification companies including DoubleVerify, IAS, and Ebiquity. Examples of measurement at scope3.com are included in the Screenshots tab and attached as PDFs."
"If yes to above, what information would a client need to provide and in what format?","At minimum, Scope3 needs date (date format), impression volume (integer), and domain/app name (string) to model emissions. 
Additional reporting granularity can be achieved by providing required inputs and strongly recommend inputs such as country (string), channel (string), seller name (string), network (string), device type (string), creative size wxh (string), video duration (integer), spend (integer), viewable impressions (integer), clicks (integer), video completion rate (integer), total conversions (integer). 

Full list of inputs accepted by Scope3 and accepted formats can be found here - https://docs.scope3.com/docs/media-delivery-schema"
What granularity does report get down to?  Campaign? Channel? Partner? format? Please provide samle report,"Reporting output in Scope3's Media Reporting dashboard is available by advertiser, country, channel, and campaign. Teams can also export data out via cloud bucket integration at any level of granularity. Emissions can be segmented by  advertiser, country, channel, campaign, device type, insertion order/line item/ad group/placement, creative, creative size/duration, network, or domain/app name. A sample report is attached."
"Do you have a comparison of carbon emissions output of direct vs programmatic buying?  What level of granularity would that get down to?  Campaign?  Channel, Partner, Format?",Carbon emissions for direct vs. programamtic buying can be provided at the domain and seller  level. This data is optimally viewed by seller to understand seller emissions and emissions by buying path. 
AccuWeather,Y
Adevinta NL,N
Alma Media,Y
Axel Springer - Media Impact DE,Y
Burda Forward,Y
Dailymotion,Y
Dotdash Media Inc,Y
Dow Jones,N
DPG Media,N
Fandom,Y
Foxtel,Y
Future,Y
Go Media NZ ,N
Hearst Magazines,Y
Immediate Media,Y
Insider Inc.,Y
JCDecaux ANZ,N
La Presse,Y
Lumo NZ,N
New York Times,Y
Penske Media Company (PMC),Y
Ringier Axel Springer Poland,Y
Ringier CH,N
Sanoma Finland,N
SBS Australia,Y
SHE Media,N
Snap,Y
The Atlantic,Y
Tripadvisor,Y
Tubi.tv,Y
United Internet Media,Y
United Media,N
Vox Media,N
"Describe the types of reports provided by your solution (e.g., dashboards, detailed analysis).","Scope3 provides a suite of reporting available to clients. Through our Collaborative Sustainability Platform (CSP), clients may access in depth data analytics, including visual breakdowns of emissions (gCO?PM) per property, dashboards for Green Media Products (GMP's) and dashboards specific to campaign related data. All of these reports are based on impression data. Clients can customise all visual reporting to focus on their campaign/deals, as well as relevant geographies.

Additionally, Scope3 has benchmark data available both through our API, or directly within our Collaborative Sustainability Platform (CSP). Clients can use these benchmarks to evaluate inventory performance and adjust deals and campaigns, where desired, to assess gCO?PM and calculate emissions reduction.

https://docs.scope3.com/reference/benchmarks-1
https://scope3.com/benchmarks"
Explain the frequency of reporting and updates if applicable. ,"Reporting is available in real-time. Our emissions model is updated daily, with a monthly dataset provided to clients for easier usage."
Share 2-3 examples of insights or recommendations based on your measurement results.,"Scope3 publishes both independent and collaborative research based on our measurement results (https://scope3.com/research). We produce a semiannual State of Sustainable Advertising report (example attached) and monthly newsletter as well as ad hoc research and insights to raise awareness and educate on the work that we and our partners are doing together to accelerate the growing shift toward sustainable advertising. 

Key insights that we are especially proud of and that we believe have effected meaningful change in behavior resulting in significant emissions reduction include our work on:

Problematic Placements
Recent research on ad waste at the placement level, aka problematic placements shows that of  13.8k domains analyzed 33% had placements that rendered out of consumer view or refreshed constantly — two indicators that these ad slots won’t drive value for the marketer.

MFA
A joint study conducted in partnership with Ebiquity analyzed more than $375M of digital advertising spend across 116bn display ad impressions from 43 brand advertisers and revealed that 15.3% of their advertising spend is wasted on inventory that generates no value to their business while generating excessive amounts of CO2 emissions."
"Describe initial setup costs, if any. ","Scope3 structures commercial partnerships on an all-inclusive SaaS basis that empowers our clients to weave emissions data throughout their business with flexible, always on, unlimited access through our platform and APIs. There are no additional costs for setup."
"Are there ongoing monitoring and reporting fees? If so, please specify. ",All monitoring and and reporting is covered by the SaaS agreement. 
"Are there additional costs for custom reporting or ad-hoc analysis? If so, please specify. ","In special cases, clients may opt to retain Scope3 services for additional ad-hoc consulting beyond included monthly consulting hours. The hourly rate for this service is $575 and is available to address needs that arise outside of the contracted service as defined within the partnership agreement."
Please explain any other relevant costs or fees associated with your services. ,No other costs or fees apply.
